id,zh_CN,en,ja

#与小爱初遇,"","",""
e01_03_e_01,"呜啊啊啊啊，救命呀，小爱。","",""
e01_03_e_02,"礼诗，你刚在那里干什么呢？","",""
e01_03_e_03,"你刚才……没看到吗？","",""
e01_03_e_04,"看到什么？","",""
e01_03_e_05,"有个怪物呀！真的！它从那边的门冲出来，直接扑到我身上来了！","",""
e01_03_e_06,"哎，怪物呢...... 消失了？","",""
e01_03_e_07,"哎？怪物？","",""
e01_03_e_08,"你在说什么啊，礼诗，我可什么都没看到。","",""
e01_03_e_09,"这栋屋子里……有那么吓人的东西吗？","",""
e01_03_e_10,"你该不会是想恶作剧吓我吧？","",""
e01_03_e_11,"不是，我才没有骗你，小爱，是真的……","",""
e01_03_e_12,"可是……我明明看见了啊……","",""
e01_03_e_13,"……","",""
e01_03_e_14,"刚才我还以为，大家都不见了，就剩我一个人被留在这里了……","",""
e01_03_e_15,"对了，其他人呢？他们去哪里了？","",""
e01_03_e_16,"她们呀，唯音和羽新往东馆那边去了。","",""
e01_03_e_17,"我不太想走太远，就留在这里等他们回来。","",""
e01_03_e_18,"这个地方我是真有点受不了，不知道唯音为什么要来？","",""
e01_03_e_19,"我好想快点回去呀。","",""
e01_03_e_20,"嗯……要不，我去找他们回来吧。","",""
e01_03_e_21,"算了算了，你不是刚说遇到怪物了吗？","",""
e01_03_e_22,"还是别乱跑了，留在这里陪我吧。","",""
e01_03_e_23,"来这边，坐一下吧。","",""




#与小爱的对话,"","",""
dialogue_01_ai,"礼诗，不要理我太远呀。我一个人待在这里好害怕！","",""
dialogue_02_resu,"我不会离太远的，我就在这附近看看","",""
dialogue_03_resu,"小爱的脚好像扭伤得挺严重的，得做一些应急措施吧","",""
dialogue_04_resu,"但是我又不是很懂这些，该怎么办呢？","",""
dialogue_05_resu,"对啦，这里应该有一些医疗的书，应该有写怎么处理扭伤的情况","",""
dialogue_06_resu,"总之去找找看吧","",""

#会诊室的调查,"","",""
e01_03_a_01,"这里有好多书，有格雷解剖学，哈里森内科学，最好的告别","",""
e01_03_a_02,"这里有没有什么能用的书...","",""

#玩偶架前,"","",""
e01_03_b_01,"好多洋娃娃，好可爱呀","",""

#配药室的密码锁,"","",""
e01_03_c_01,"门被锁住了，上面有一个密码锁。","",""
e01_03_c_01_keyword_01,"密码锁","",""

#通往东馆二楼的门,"","",""
e01_03_d_01,"礼诗，你还在吗？","",""
e01_03_d_02,"我在的!","",""
e01_03_d_03,"还是不要离太远","",""
